iter,LB,UB,Gap
1,0.0,27335071.05589474,27335071.05589474
2,678888.5031785138,14420851.807908304,13741963.30472979
3,685374.2324186241,12686997.767999182,12001623.535580557
4,700136.3416198667,11632191.336326478,10932054.994706612
5,706914.4112155089,11950121.08327495,11243206.672059441
6,709332.4578197503,5780247.4078812655,5070914.950061515
7,718067.2487742333,4628026.870475748,3909959.6217015143
8,726718.1294065116,6370357.67715112,5643639.5477446085
9,741487.2368505673,4117998.4973963844,3376511.260545817
10,818824.221388772,6555897.296846743,5737073.075457971
11,850231.3366570773,6450368.778106956,5600137.441449879
12,852739.7639955779,4041501.9813709264,3188762.2173753483
13,858384.8226157782,3470393.9562302753,2612009.1336144973
14,3280522.1971315783,5636073.311073422,2355551.113941844
15,3287889.60564244,5120509.44666896,1832619.8410265204
16,3294944.6991735157,4348227.65282077,1053282.953647254
17,3295710.900125426,3864994.5428329203,569283.6427074946
18,3296537.176253261,3483689.8514063433,187152.67515308224
19,3466598.722899001,5054452.00417252,1587853.2812735187
20,3468783.304870172,3515937.472210814,47154.16734064184
21,3468799.7647717213,3491915.7479063165,23115.98313459521
22,3485644.621148316,4163313.4081148375,677668.7869665213
23,3485765.6314148577,4677505.285457513,1191739.6540426556
24,3486274.1167941974,3487349.083712093,1074.966917895712
25,3486363.14243434,3485999.3598658927,-363.78256844729185
